,song_name,lyrics,release_date,impression
32,TSUBASA feat. Yomi Jah,サヨナラがまた僕らを海をこえ迎えに来る許される限り遊ぼう大空を飛び交う影に僕らの夢乗せてみるんだImagine breaking through the sky into our futureAs we chase the rainbow苦しみはlet it go負けないように大声で歌うけど引き裂く音が遮る言葉かき消されたありがとうだから笑顔で手を振ってあの窓から見るこの島はいったいどんな色？自由に飛んでみたいんだ、青く広がる空を失くしたものとか会いたい人とかさぁ、見つけに行こう僕らも翼広げて大きな影たち飛び回る空に憧れあの雲が動けば we just know that it's gonna rainタソガレにキラキラと光り落ちる dripsこの島からの気まぐれで美しい giftフェンスごしに違う国に囲まれた運動場毎朝、聞こえる君が代とstar spangledKick push　感じる、普天間の丘に吹く風No matter what you are　みんな同じ人間なんだね毎日歩いて、笑って、泣いて、また笑って好きなものが変わって、嫌いなものも変わってWhat did you say？　君の言葉かき消したAirplaneなんでもないよって、またすぐ会えるからって恐れるものは何もないはず僕らだけの場所でまた会おうだから笑顔で手を振ってあの窓から見るこの島はいったいどんな色？自由に飛んでみたいんだ、青く広がる空を失くしたものとか会いたい人とかさぁ見つけに行こう僕らも翼広げてきまぐれな空には今日も虹がかかるやーの笑い声でここが麓だってわかる両手広げ空を仰ぐtake a flight like dem choppasやると決めたらやるだけさ you know that nothing can stop us生まれたこの街は今も love & pain　渦巻く光と影と雨と風をchamploo　かき混ぜるこの美しさをいつかあなたにも見せたいこだまするbeatsどんな爆音にも負けないこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2022/5/15,情報なし
33,DEIGO ft. OZworld,(Islands of mystical power月桃 FlowersBeaches and junglesSolders in bundlesRed-eye sheesaaJedi gatekeeperPain we don't run fromThat's where the fuck we come fromAct familiaCrown made of bougainvilleaWelcome to Okinawa)いつか逃れ逃れたどり着くから荒れ狂う風に身を任せて Flyデイゴの真っ赤な花が咲いたらI'll be backI'll be backI'll be back今は遥か遠く記憶の彼方降りしきる雨にも負けずまた Tryデイゴの真っ赤な花が咲いたらI'll be backI'll be backI'll be back全部洗って流せればいいのに叫んでも声にならない声はいつか音になりパイカジが教える世界を変えようなら俺が変わろう島の魂　今己に宿そう鏡の中の誰？自分が自分でい続ける為神は我を取り除けば目の前今が創り出す今を生きる答えねえ　夢はどうして夢のまま終わるのに世界は続くの歴史は Rhyme する繰り返し形を変えては引き上げる Ascension俺も G.O.A.T　紙食ったヒージャーあきこしーじゃ　有難うみんな血が同じ他人じゃなく Familyイチャリバチョーデー Freedom　とまんねぇ人生待ったないしフリーダム気づいたやつから Movingこんな狂った世界も I'll be backいつか逃れ逃れたどり着くから荒れ狂う風に身を任せて Flyデイゴの真っ赤な花が咲いたらI'll be backI'll be backI'll be back今は遥か遠く記憶の彼方降りしきる雨にも負けずまた Tryデイゴの真っ赤な花が咲いたらI'll be backI'll be backI'll be backニライカナイは海の向こう仮面なんか島に置いて行こうI loved I lost泣いてまた I learn I know全部脱ぎ捨てられたらいいのに一緒に見上げたオリオン顔面すれすれ泳ぐ F15柔らかそうなお腹　連れて行かれそう僕らプレコ　ごみを食べて育った深い傷を背負った歴史の痛みをどれだけ You tried to let me knowI said let it go　わかるからこそ飛立つ　いつか戻るから Hold onYaw I'm G.O.A.T.　紙食ったヤギバグった女神こんな私を許せない君But I know you still fuck with meMy island　付き合えよくだらない不安も　いつか下る天罰にも愛しい島よ Oh please let me know愛しい島よ Oh please let me knowこの声今も届いてんの？いつか逃れ逃れたどり着くから荒れ狂う風に身を任せて Flyデイゴの真っ赤な花が咲いたらI'll be backI'll be backI'll be back今は遥か遠く記憶の彼方降りしきる雨にも負けずまた Tryデイゴの真っ赤な花が咲いたらI'll be backI'll be backI'll be backこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2020/1/11,情報なし
34,Detox ft. Tabu Zombie,"Accelerate the change in electromagnetic planeThe wisdom swift and changeable;A divine ever-loving moleculeWeather the seaNurture the needsWater the seedsAscend the beingsHail me as the sun's passion born thunderstormIce precipitated heavier than gravitatedHail me as the mother to my all civilized ether as Mary was to JesusOffer your loveYou don't have to be so goodYou don't have to be so strongYou can be weakYou can show me your flawsPut your head on my abdomenDon't have to call this anythingI just know you need meRemember what you missingI wouldn't runSo let your tears runI'll cry with you till detox is doneI wouldn't runLet your tears runI'll cry with you till detox is doneWhat makes rain, hail, snow, and earthquakes？Why contain poison in until you break？Let the heat of the sun draw up your feverAnd ground your feet into the earth because you need herEther vibrating chakra stimulatedJitter and pain not to be evadedKundalini elevatedMeditating frequency changingAlpha into Gamma wave lengthHeart pacingMind spacingImages racingGingers, honey, sage andBlue solar oasis8888 angelsCalling us into the 5th dimensionOffer your loveYou don't have to be so goodYou don't have to be so strongYou can be weakYou can show me your flawsPut your head on my abdomenDon't have to call this anythingI just know you need meRemember what you missingI wouldn't runSo let your tears runI'll cry with you till detox is doneI wouldn't runLet your tears runI'll cry with you till detox is doneこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2017/8/8,情報なし
35,どれにしようかな,"あれも欲しい、これも欲しいもっと欲しい、選びきれないGucci, Louis Vアルマン, HennessyRose gold 2 toneRollieとかAPツアー、テレビ、映画、主題歌取材班、密着される Home islandBoys in my DMLove Callがひしめく何を着ようかなNa na誰と寝ようかなNana na na女の子でもいいな nanaだって私のQueendom da domひよってんじゃねーぞ bad gyalzあなたの未来は誰が決めるの？見た目で Don't Judge me覆す常識女は女らしくとかうるせぇんだよ Shut the fuck upどれにしようかなNana na nana naどれにしようかなNana na nana naBaby I don't give a fuck1 2 3 4 5数えきれないくらいやな事だらけでも御褒美ならmany moreどれにしようかなNana na nana naどれにしようかなNana na nana na狙い撃ちするShots1 2 3 4 5数えてNo more cry悩めるほど Good Life手に入れろ全部 What you likeYeah yeah yeah yeahWow wow wow wowやりたいことだけやればいい全部楽しめなきゃ意味ないアンミカみたく Let's have a partyYay yay yay ya世界目指しちゃうちゃんみなSystem変えるKiko MizuharaRespect toAll the girls覆す常識「可愛い」だけが正義とか、うるせぇんだよ Shut the fuck upどれにしようかなNana na nana naどれにしようかなNana na nana naBaby I don't give a fuck1 2 3 4 5数えきれないくらいいやな事だらけでも御褒美ならmany moreどれにしようかなNana na nana naどれにしようかなNana na nana na狙い撃ちするShots1 2 3 4 5数えてNo more cry悩めるほど Good Life手に入れろ全部 What you likeこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2022/3/4,情報なし
36,NEBUTA ft. kZm,Wax on wax offMask on mask offHeavy karma 12 foldsWear the bitch like kimonoOhh ohh ice coldAnd we fishing for the goldIt's a cult ×2Run them up and run them offRun it ×2Run em up and run em offRun it ×2Run em up and run em offWe do what the fuck we wantAll ya bitches go homeYENTOWN　降り注ぐ神のご加護YENTOWN ya we do the mostPull up and pull out and ghostBroke hoes ya you gotta goIts over for you fuck your hopesCotton candy in her noseYour man hiding in my robes“Maiko” her face is so white“Taiko” he beat it so rightWe do not support your op ass bitches noYall's a whole bunch of sub ass snitches yaI'm the top chef cooking in the kitchenIf you can't take the heatthen get the fuck up out this bitchWax on wax offMask on mask offHeavy karma 12 foldsWear the bitch like kimonoOhh ohh ice coldAnd we fishing for the goldIt's a cult ×2Run them up and run them offRun it ×2Run em up and run em offRun it ×2Run em up and run em offWe do what the fuck we wantAll ya bitches go homeYENTOWN　降り注ぐ神のご加護Light me upLight me upYENTOWN はすごいの？金を稼ぐの？家はどこなの？誰としたいの？ただのはぐれもんおまえの話はNo行ける場所ももう限られてきたZoneっせーんだよブスI gonna beat you up超Litな仲間たちと勝手に Cookin dopeもってんなら曲げろFucked up　道空けろ超Litな仲間たちと勝手に Cookin dopeWax on wax offMask on mask offHeavy karma 12 foldsWear the bitch like kimonoOhh ohh ice coldAnd we fishing for the goldIt's a cult ×2Run them up and run them offRun it ×2Run em up and run em offRun it ×2Run em up and run em offWe do what the fuck we wantAll ya bitches go homeYENTOWN　降り注ぐ神のご加護Light me upLight me upFlying highFlying highWhy the fuck you soberMoney long like“soba”Light me upLight me upぶち上がLitこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2018/10/10,情報なし
37,NEBUTA ft. kZm (AL ver.),Wax on wax offMask on mask offHeavy karma 12 foldsWear the bitch like kimonoOhh ohh ice coldAnd we fishing for the goldIt's a cult ×2Run them up and run them offRun it ×2Run em up and run em offRun it ×2Run em up and run em offWe do what the fuck we wantAll ya bitches go homeYENTOWN　降り注ぐ神のご加護YENTOWN ya we do the mostPull up and pull out and ghostBroke hoes ya you gotta goIt's over for you fuck your hopesCotton candy in her noseYour man hiding in my robes“Maiko” her face is so white“Taiko” he beat it so rightWe do not support your op ass bitches noYall's a whole bunch of sub ass snitches yaI'm the top chef cooking in the kitchenIf you can't take the heatThen get the fuck up out this bitch「YENTOWN はすごいの？」「金を稼ぐの？」「家はどこなの？」「誰としたいの？」ただのはぐれもんおまえの話は No行ける場所ももう限られてきたっせーんだよブスI gonna beat you upチョー Lit な仲間たちと勝手に Cockin dopeもってんなら曲げろ Fucked up　道空けろチョー Lit な仲間たちと勝手に Cockin dopeWax on wax offMask on mask offHeavy karma 12 foldsWear the bitch like kimonoOhh ohh ice coldAnd we fishing for the goldIt's a cult ×2Run them up and run them offRun it ×2Run em up and run em offRun it ×2Run em up and run em offWe do what the fuck we wantAll ya bitches go homeYENTOWN　降り注ぐ神のご加護Light me upLight me upFlying highFlying highWhy the fuck you soberMoney long like sobaLight me upLight me upぶち上が Litこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2020/1/11,情報なし
38,Happy X-mas (War Is Over),"So this is Xmas and what have you done？Another year over and a new one just begunAnd so this is Xmas, I hope you have funThe near and the dear ones, the old and the youngA very Merry Xmas and a happy new yearLet's hope it's a good one, without any fearAnd so this is Xmas (War is over)For weak and for strong (If you want it)For rich and the poor ones (War is over)The road is so long (Now)And so happy Xmas (War is over)For black and for white (If you want it)For yellow and red ones (War is over)Let's stop all the fight (Now)A very Merry Xmas and a happy new yearLet's hope it's a good one, without any fearAnd so this is Xmas (War is over)And what have we done？ (If you want it)Another year over (War is over)A a new one just begun (Now)And so happy Xmas (War is over)We hope you have fun (If you want it)The near and the dear one (War is over)The old and the young (Now)A very merry Xmas and a happy new yearLet's hope it's a good one, without any fearWar is overIf you want itWar is over nowこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2020/11/27,情報なし
39,Heartbreak Erotica,"Heartbreak, Heartbreak, HeartbreakHeartbreak EroticaHeartbreak, Heartbreak, HeartbreakHeartbreak Eroticaまたやっちゃったみたいまたさせちゃってる期待運命の出会いなんて思っちゃってるその目に映ってる未来あなたと私の未来しちゃってる勘違いそれも無理はない髪は長く、目は鋭く胸もケツも丸く女王の如く歩く見たら忘れない唇厚く、声は深く常に吐く哲学君の悩み解決Now you call me your　女神Sorry I broke ya heartそんなつもりないでも言ったじゃん最初からI'm a Heartbreak Erotica(break ya heart in pieces boyyy)Heartbreak, Heartbreak, HeartbreakHeartbreak EroticaHeartbreak, Heartbreak, HeartbreakHeartbreak Erotica何が問題なのただ笑ってHelloしただけそこらじゅうささっちゃうCupid's Arrowsなのに　ジェラシー達に言われる　ヤリマン、ブラパン　ヤー名前だしてみなよ誰がfuck me？run it up run it up run it up huuuuh？ok simmy simmy yaok bitch give me dub女神の恵をたらふく喰らったking in my bed悪いけど君の事少しも... (nope！)Sorry I broke ya heartそんなつもりないでも言ったじゃん最初からI'm a Heartbreak Erotica(break ya heart in pieces boyyy)Heartbreak, Heartbreak, HeartbreakHeartbreak EroticaHeartbreak, Heartbreak, HeartbreakHeartbreak Eroticaこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2022/3/4,情報なし
40,Bad Bad,Oh tell me why君に出会う前でも笑えてたはずなのに　cannot without youこんなに寝ても覚めてもDreaming of youかき乱すほどに　cannot without youCause you are bad badYea I want it bad badTell ya girl to back backThey don't want a bad gyalOh nooo not II never gonna leave youLonely lonely lonely lonelyYou are bad badYea I want it bad badNah ya girl nah want that 098 gyalOh nooo not II never gonna leave youLonely lonely lonely lonely熟してく夜また深くこの体と体が花咲くParadise見つめる視線知らんふりもできない　cause I really wanna give you my love罪を誘う熱帯夜ここから連れ出して私の名前をその声でCall me call me call me call meOh tell me why風に唄う孤独と踊れてたはずなのに　cannot without you夜空に星を翳す影　Searching for youさらけ出すほどに　cannot without youCause you are bad badYea I want it bad badTell ya girl to back backThey don't want a bad gyalOh nooo not II never gonna leave youLonely lonely lonely lonelyYou are bad badYea I want it bad badNah ya girl nah want that 098 gyalOh nooo not II never gonna leave youLonely lonely lonely lonelyこの世界の終わりも together君となら怖くは無いからYou can trust me酸いも甘いも見たわLet me be your girl and give you all of my loveあの子にはできないわBad man need a bad gyal溢れ出す愛を全部 put itOn me on me on me on meOh tell me why君に出会う前でも笑えてたはずなのに cannot without youこんなに寝ても覚めてもDreaming of youかき乱すほどに cannot without youCause you are bad badYea I want it bad badTell ya girl to back backThey don't want a bad gyalOh nooo not II never gonna leave youLonely lonely lonely lonelyYou are bad badYea I want it bad badNah ya girl nah want that 098 gyalOh nooo not II never gonna leave youLonely lonely lonely lonelyYou are bad badYea I want it bad badTell ya girl to back backThey don't want a bad gyalOh nooo not II never gonna leave youLonely lonely lonely lonelyYou are bad badYea I want it bad badNah ya girl nah want that 098 gyalOh nooo not II never gonna leave youLonely lonely lonely lonelyこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2020/8/21,情報なし
41,Burn Down feat. GADORO,憧れと引き換えに心一つまだ Burn downもがけば絡みついて命一つまた Burn down憧れと引き換えに心一つまだ Burn downもがけば絡みついて命一つまた Burn down毒蜘蛛のウェブの中堕ちる心の儚さ画面の向こう輝く大海原手を伸ばし触れる夢は泡沫徐々に増えるいいねが嬉しくて寝ても覚めても Scroll down　コメ欄見つめインフルエンスできる快感　ハマる毎晩少しだけなら数字も改竄「人に喜んでもらえるならいいんだ」自分の投稿と皆の笑顔の因果信じて今日も Lights camera action部屋の隅貪る Reactionふと目に止まる Hate comments光と闇の交差点気になれば止まらない悪い妄想社会 vs 1の対立構造危うい言動から負のスパイラル有る事無い事　祭りが始まるネットニュース　まとめサイトその名前餌にがっぽり稼ぐアフィリエイトDamn　容赦ないキーボードの暴力抑圧された Soul 達の総力道徳と表現と広告と暴言の火花に今日も誰かが漏電(Burn down)憧れと引き換えに心一つまだ Burn downもがけば絡みついて命一つまた Burn down憧れと引き換えに心一つまだ Burn downもがけば絡みついて命一つまた Burn down携帯という名の拳銃　皆が所持してる標的が離れてても手軽に脳に命中表情の無い　乾いた声でこう言う「涙の数だけ強くなれるなんて嘘だ」ビルの屋上　風に飛ばされてしまわぬようゆっくり脱いだスニーカーに挟む置き手紙悔いを残し遂行　ツイートでの追悼 RIP　僅か3文字で悔やむ人種は莫大に他人を押さえつけてる限り自分もそこを動けないんだもぎ取れた羽でまた一人と羽ばたいた逃げた訳じゃねえ　逃げれなかった思い出をくれた人が思い出になった無口だったはずのアイツもウェブの中じゃ常に出来る自己主張名前を伏せて　振りかざす　正義という名の誹謗中傷分かち合うことも忘れ騙しあう　力入らず幅効かす正に邪悪なサファリパークパスが増えるたびに減る記憶　助言さえも信用せず中指でスワイプ笑えれずに笑ってる　讃えれずに叩いてく溜めたものも口に出せず画面に飛び散るそこはまるで胃カメラじゃ見えぬほどの腹黒さの巣窟人間こそ何よりも共食いする動物今日　脅し　脅され　今日　殺し　殺され今日　人はそんな日々を平和と呼ぶんだね夢を追いかけて繋がっていくOh誰だってみんな完璧じゃない色んな人と認め合うため手と手をとってどうか忘れないでDon't let it break your soulDon't let it take your soulDon't let it break your soulこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2023/10/25,情報なし
42,Patrona,"(Victorious warriors win first and then go to warDefeated warriors go to war first and then seek to winPatience when it seems as nothing is gainedIt might not show for the first few years just like the bambooAll warfare is based on deceptionYou must “stand under”Let your plans be dark as night and your moves fatal like thunder)Bow down call me patorona天国から見守る Don DadaI got bloody boys on my corners仇を取るため　I go locaNo touch la familiaFlash backされる scenario　ボスの good wife というプライド19で知ったダークサイド24で死んだ純なハート欲は底なし　turn a man into a savage　窓に人影。。。Bong Bong　砕け散る windowしゃがみ込み息を殺す、体駆ける緊張見上げれば撃ち抜かれた、あの人の心臓約束した　don't leave me a young widow(King is dead)Man fuck peace　呼び出せ　all them shottas身の捩れるほどの怒りに決意する slaughter覚醒する beastMan you really didn't want that憎しみに歪む心に誓って　that's a man downLove or fear　果てない戦いSun Tzu, Machiavelli22　タマ取りBamboo Stick up弾雨　Blick upタマ取り　now I see ya runningTrackstar, prankster you funnySorry we can't take jokesBow down call me patorona天国から見守る Don DadaI got bloody boys on my corners仇を取るため　I go locaNo touch la familia根掘り葉掘り　you're a モグリ federale federale命掛けて masterpiece　お絵かき、お絵かき電話一本、連帯行動Word life Word bond　正々堂々命は短く夜は長く「仇こそ敵なり」それも分かる心苦しいけど　引き返せぬ(借りは返すよ)Now I got your bitch in my trunk救いたいなら今がチャンス踊らす命乞いのダンスThen I hunt you down with my drunken monks祈りなさい　to the GottiSun tzu Machiavelli22　タマ取りBamboo Stick up弾雨　Blick up(What do you want？What do you really want？Hatred is gained by evil or even by good worksTo know your enemy, you must become your enemyThe greatest victory is that which requires no fightLove？ or Fear？What are you fighting for？What does it mean to win？Why are you alive？What is this life？)この歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2020/8/21,情報なし
43,Views,We from the islandMost of the boys are too violentSometime we can get too loyal andFoolish cause we were misguidedWe from the islandThese gals would play you like violinsSome places you not invitedBetter put on some more mileageWe from the islandThat should explain the way I actGrownups stay talking shit about the people not from hereand don't speak our dialectThey taught us not to trust themPoliticians are unjust themSomehow we foster the hearts in us that never run awayfrom what is hurting usWe from the islandMost of the boys are too violentSometime we can get too loyal andFoolish cause we were misguidedWe from the islandThese gals would play you like violinsSome places you not invitedBetter put on some more mileageIt's my island I can park it where I wannaMy boys can get very loud like that marijuanaDon't believe me just watchSand into dollarTake dirty shoes off boy watch ya mannerBend that 88 million yen bagSpend that turn around and find a plug and friend thatFind a good rod that can flexThen we fence thatHence that long live the tribeYea we splendidDon't get caught up in the waveThere will not be no escape yawDon't get caught up in the waveThere will not be no escape yawDon't get caught up in the waveThere will not be no escape yawDon't get caught up in the waveThere will not be no escape yawWe from the islandMost of the boys are too violentSometime we can get too loyal andFoolish cause we were misguidedWe from the islandThese gals would play you like violinsSome places you not invitedBetter put on some more mileageWater water waterIt can give you life and give deathYou can fuck around and loose your breathsDon't you know don't you know don't you know yet？We give you so much but you do is takeAll these beautyAll these fruitsAll these spiritsAll these talentsWait a minuteYou taking too muchYou taking too muchTill we have no moreTill we have no moreこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2017/8/8,情報なし
44,Pin,"Hey, I really wanna see your faceJust say the word I'm on my wayJust drop me a pinI think I'm all ready to do me a sinIts' one of these nightsThe sake got me flexingThat's why I dialed you number instead of textingYou seem surprisedTrust me so am ICouldn't hold it insideSo, I hope it's not too lateI really wanna see your faceYes yes, I'm a bit too fadedSo you need to move along with my paceLet me tell right now just in caseYou're wondering what's the topic, there isn'tMy feeling has gotten to a place beyond reasonsYour rhythm got my Kegel muscle squeezed inDamn I'm coming through boy quit teasingHey, I really wanna see your faceJust say the word I'm on my wayJust drop me a pinI think I'm all ready to do me a sinDamnAy girl why are you doing this？My heart ponded to see I missed your call at this late at the nightIt said a minute ago, I called right backThen I'm listening to you talk all that smackHalf of me wanna be real loudBut the other said ”nigga just keep calm”Killing me with your burned voiceYou sound without your regular poiseYou stroking out my sentimentTo see you out your elementsIt's working on me, ladyIt's fun play this game ain't it？Shit - pride, pride, pride, pride…I said ”you drunk man call the ubesYou shouldn't make no drastic moves that you'll regretI respect you more than anyone everYou competent you passionateI love the works we give together”Oh so you still pressing me？I'm running out of my good guy address in meMy cold bed, your steamy honesty - bad recipes2am, your face, hair, body - bad recipesIs she playing me？ I can play her backThen again, why would I wanna waste my time with that？If it's bad then it's badIf it's good then it's real badNow tell me do you wanna ruin what we now have？-- Please say yesYou don't have to be so goodYou don't have to be so strongYou can be weakYou can show me your flawsPut your head on my abdomenDon't have to call this anythingI just know you need meRemember what you're missingI wouldn't runSo let your tears runI'll cry with you till detox is doneI wouldn't runLet your tears runI'll cry with you till detox is doneこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2017/8/8,情報なし
45,First Light,"Nuff blessing in your eyes涙にも感謝してIt's time for smileIt's alright, childIt's gonna be alright, child許すことも覚えたアスファルトに転がった3つの弾と涙誰か攻め続けても He won't be backどんな夜も明けるからFirst light　見つけに ForwardWalk good, my brotherAnd please remember無駄じゃない全てが Study成長に Always　イタミあり人は強くて弱いものWe all make mistakesForgive youI forgive youI forgive you I forgive you失ったものは多いけど残された愛をI'll give you I'll give youI'll give you I'll give you与えるほどに増えていくものだからDon't be afraidSomebody said thatThe only answer is loveOnly love only love will save usFriends we have and friends we lostDon't you worry don't you worry we'll be alrightFirst lightSee the first lightTogetherStay together愛は我慢強く、強く、永く永遠に続く気付くけれどいつも違う部屋で目を覚ます間に合わせの気持ちで紛らわせるの Loneliness儚く最後何が何かわからないままただ泣く一人でLove nah hurt youNo no no love nah hurt you傷つけるのは愛じゃないIt's the lie　偽り、憎しみ、裏切り、怒り、妬み、Regret愛されてないことへの恐れThe only answer is loveOnly love only love will save usFriends we have and friends we lostDon't you worry don't you worry we'll be alrightFirst lightSee the first lightTogetherStay togetherこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2020/1/11,情報なし
46,Fade Away,"Have you heard？The heart inside my rib cageBlue birdAs if she was banished from the skyTrapped inside my bodyHow can someone love me？How can someone…？Then came a boyHe brought with him a dreamWe shared a piece of fudge round and a good amount of painThen he said…“My soul is for you to keep”“Even when I leave”“Even when I…”Then,He took the bullets for meAnd said“Let the madness go…”There is a bright light callingSo let us be free from shapesFade away away away nowFree from shapesFade away away away nowFree from shapes辺り一面のHeartacheBlue dust2次元の雨不意に指掛けた RugerSo I can see you soonerSo I can see you…A strong drink食べのこした Courage欲しいと肩寄せた第13の使徒And he said“Baby dance with me”“I can make you feel”“I can make you… Feel”体の線を指でなぞって重なり合わせSo let us beFree from shapesFade away away away nowFree from shapesFade away away away nowFree from shapesFade away away away nowFree from shapesFade away away away nowFree from shapesこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2018/10/10,情報なし
